user_id,gender,height_cm,weight_kg,cluster,brand,category,product_name,size_bought,outcome,reason,fit_feedback,rating,review,purchase_date
U000001,Female,164,59,Female_Cluster_0,Roadster,Trousers,Cargo Pants,M,kept,,True to Size,5,Loved the fit. Fabric feels premium.,2024-01-31
U000002,Female,160,70,Female_Cluster_3,Levi's,Trousers,Running Shorts,L,kept,,True to Size,4,Looks even better in person.,2024-12-14
U000003,Female,162,72,Female_Cluster_3,Zara,Kurti,Printed Kurti,M,kept,,Slim Fit,4,Comfortable and stylish.,2025-07-03
U000004,Female,162,56,Female_Cluster_0,Biba,Jeans,511 Slim Jeans,L,kept,,True to Size,5,Exactly as shown. True to size.,2024-08-26
U000005,Male,166,81,Male_Cluster_2,Adidas,Dress,Maxi Dress,XL,kept,,Relaxed Fit,4,Very comfortable and fits perfectly.,2025-06-30
U000006,Female,163,65,Female_Cluster_3,W,Dress,Maxi Dress,M,returned,Too Tight,Runs Small,1,Runs smaller than expected.,2025-02-14
U000007,Female,163,78,Female_Cluster_3,Adidas,Dress,Maxi Dress,XL,returned,Too Long,Runs Large,3,Length was longer than expected.,2024-09-09
U000008,Female,150,54,Female_Cluster_2,Biba,Kurti,Anarkali Kurta,L,returned,Too Long,Runs Large,2,Bit loose around the waist.,2024-06-05
U000009,Female,161,48,Female_Cluster_4,ONLY,Kurti,Ethnic Set,S,returned,Too Loose,Runs Large,3,Runs larger than expected.,2024-04-24
U000010,Female,160,58,Female_Cluster_0,Nike,Shirt,Satin Shirt,M,kept,,Relaxed Fit,5,Great quality. Would buy again.,2024-06-05
U000011,Female,167,76,Female_Cluster_3,H&M,Shirt,Checked Casual Shirt,M,kept,,Slim Fit,5,Great quality. Would buy again.,2024-02-29
U000012,Female,157,56,Female_Cluster_0,Allen Solly,Top,Essentials Tee,S,kept,,Slim Fit,4,Perfect everyday wear.,2025-06-24
U000013,Male,167,77,Male_Cluster_2,Levi's,Trousers,Palazzo Pants,L,kept,,Slim Fit,5,Comfortable and stylish.,2024-05-03
U000014,Female,161,58,Female_Cluster_0,Levi's,Shirt,Satin Shirt,M,kept,,True to Size,4,Exactly as shown. True to size.,2024-02-02
U000015,Male,176,77,Male_Cluster_3,Allen Solly,Dress,Floral Midi Dress,L,kept,,Relaxed Fit,5,Great quality. Would buy again.,2025-04-29
U000016,Male,173,78,Male_Cluster_3,Adidas,Kurti,Straight Kurta,L,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2025-02-16
U000017,Female,160,53,Female_Cluster_0,Levi's,Shirt,Formal Shirt,S,kept,,Slim Fit,4,Exactly as shown. True to size.,2025-03-29
U000018,Male,173,70,Male_Cluster_3,W,Top,Basic Crew Tee,XL,returned,Too Loose,Oversized,3,Loose fit wasn't for me.,2024-08-06
U000019,Male,175,70,Male_Cluster_3,ONLY,Jeans,Skinny Jeans,S,kept,,Relaxed Fit,5,Very comfortable and fits perfectly.,2024-07-13
U000020,Female,167,55,Female_Cluster_4,H&M,Trousers,Training Shorts,XS,kept,,Relaxed Fit,4,Loved the fit. Fabric feels premium.,2025-06-04
U000021,Female,163,69,Female_Cluster_3,Levi's,Kurti,Printed Kurti,XL,returned,Too Loose,Runs Large,3,Needed one size smaller.,2025-08-01
U000022,Female,163,55,Female_Cluster_0,Adidas,Dress,Maxi Dress,S,kept,,Slim Fit,5,Really happy with the purchase.,2024-03-15
U000023,Female,154,50,Female_Cluster_2,Zara,Shirt,Satin Shirt,S,kept,,Slim Fit,4,Great quality. Would buy again.,2025-01-13
U000024,Female,153,62,Female_Cluster_1,Biba,Trousers,Wide Leg Trousers,XL,kept,,Relaxed Fit,4,Very comfortable and fits perfectly.,2024-09-27
U000025,Female,165,65,Female_Cluster_3,Nike,Shirt,Satin Shirt,M,kept,,Relaxed Fit,5,Comfortable and stylish.,2024-09-14
U000026,Male,173,70,Male_Cluster_3,Nike,Top,Ribbed Cotton Top,M,kept,,Slim Fit,4,Comfortable and stylish.,2025-07-18
U000027,Female,157,56,Female_Cluster_0,Roadster,Shirt,Relaxed Shirt,S,returned,Too Tight,Runs Small,2,Waist was too tight for me.,2024-02-12
U000028,Female,168,48,Female_Cluster_4,H&M,Jeans,511 Slim Jeans,XS,kept,,Slim Fit,5,Very comfortable and fits perfectly.,2024-08-30
U000029,Male,184,71,Male_Cluster_4,H&M,Dress,Maxi Dress,XS,kept,,Relaxed Fit,4,Perfect everyday wear.,2024-06-12
U000030,Male,183,86,Male_Cluster_1,Allen Solly,Dress,Floral Midi Dress,M,returned,Waist Tight,Runs Small,1,Waist was too tight for me.,2024-01-25
U000031,Female,156,62,Female_Cluster_1,Nike,Jeans,Skinny Jeans,L,kept,,Slim Fit,4,Exactly as shown. True to size.,2024-09-24
U000032,Female,164,56,Female_Cluster_0,Biba,Kurti,Anarkali Kurta,M,kept,,Relaxed Fit,4,Looks even better in person.,2025-08-13
U000033,Female,166,60,Female_Cluster_3,W,Trousers,Office Trousers,L,kept,,Relaxed Fit,5,Really happy with the purchase.,2025-11-10
U000034,Male,170,65,Male_Cluster_0,ONLY,Jeans,Skinny Jeans,S,kept,,True to Size,5,Looks even better in person.,2025-11-24
U000035,Female,163,68,Female_Cluster_3,W,Top,Ethnic Top,XL,kept,,Relaxed Fit,5,Comfortable and stylish.,2025-03-28
U000036,Female,161,67,Female_Cluster_3,Roadster,Trousers,Cargo Pants,L,kept,,Relaxed Fit,5,Exactly as shown. True to size.,2024-08-28
